,player_name,MaySpin,AugustSpin,%Difference
356,"Sulser, Cole",2134.0485436893205,2017.4207317073171,-5.47
357,"Suter, Brent",2158.0521327014217,2129.1223628691982,-1.34
358,"Suárez, Ranger",1744.4277456647399,1814.3004385964912,4.01
359,"Swanson, Erik",2182.653631284916,1939.2167832167831,-11.15
360,"Taillon, Jameson",2489.589494163424,2438.0307692307692,-2.07
361,"Tapia, Domingo",2220.15625,2207.841121495327,-0.5499999999999999
362,"Tate, Dillon",1972.96,1985.5166666666667,0.64
363,"Taylor, Josh",2323.991304347826,2210.719008264463,-4.87
364,"Tepera, Ryan",2207.8054054054055,2242.6666666666665,1.58
365,"Thielbar, Caleb",2439.9727272727273,2289.520202020202,-6.17
366,"Thompson, Keegan",2516.5074074074073,2296.274074074074,-8.75
367,"Thornton, Trent",2568.590361445783,2575.8125,0.27999999999999997
368,"Thorpe, Lewis",1874.958041958042,2015.2894736842106,7.48
369,"Tomlin, Josh",2522.14,2525.027027027027,0.11
370,"Treinen, Blake",2379.0375939849623,2398.6792452830186,0.83
371,"Trivino, Lou",2154.887640449438,1976.9573170731708,-8.260000000000002
372,"Uceta, Edwin",2239.725352112676,2261.4,0.97
373,"Underwood Jr., Duane",2090.8675958188155,2035.2882882882882,-2.6599999999999997
374,"Ureña, José",2131.004784688995,2075.4489795918366,-2.6100000000000003
375,"Urías, Julio",2563.9883720930234,2533.1642857142856,-1.2
376,"Valdez, César",1866.3265306122448,1863.377049180328,-0.16
377,"Valdez, Framber",2317.2916666666665,2328.316973415133,0.48
378,"Valdez, Phillips",2095.2638036809817,2192.3055555555557,4.63
379,"Vesia, Alex",2376.5054347826085,2340.12,-1.53
380,"Voth, Austin",2517.634328358209,2771.9811320754716,10.100000000000001
381,"Wacha, Michael",1954.793388429752,1920.4035087719299,-1.76
382,"Wainwright, Adam",2457.6951219512193,2444.074336283186,-0.5499999999999999
383,"Walker, Taijuan",2178.8727735368957,1978.9308035714287,-9.180000000000001
384,"Watson, Tony",2314.4932432432433,2338.1375,1.02
385,"Weathers, Ryan",2048.1901639344264,2079.67731629393,1.54
386,"Webb, Jacob",2340.785714285714,2400.090909090909,2.53
387,"Webb, Logan",2193.245901639344,1991.6636197440585,-9.19
388,"Wells, Tyler",2402.4619289340103,2389.9841269841268,-0.52
389,"Wendelken, J.B.",2338.2916666666665,2396.4085365853657,2.4899999999999998
390,"Wheeler, Zack",2333.8278145695363,2375.5596026490066,1.79
391,"White, Mitch",2504.3675213675215,2222.8153153153153,-11.24
